Stand	ForestType	TreeID	DBH	H	StemSection	buttH	topH	topD	buttD	KnotClusterCount	KnotClusterDistanceAverage	KnotVolume	KnotIndex	KnotSizeIndex
12	OMT	1230	45.3	26.2	4	1497.1	1986.4	145.98	240	13	178	20.767	0.1331	1.5975
12	OMT	1231	26.4	21.7	1	0	489.8	207.83	283	7	367	6.46	0.0299	0.9229
12	OMT	1231	26.4	21.7	2	489.8	979.6	171.77	213	7	462	9.458	0.0591	1.3511
12	OMT	1232	28.1	21.7	1	0	516.7	225.45	290	16	155	13.078	0.0532	0.8174
12	OMT	1232	28.1	21.7	2	516.7	1033.4	171.81	229	19	192	12.131	0.0678	0.6385
12	OMT	1233	27.2	22.2	1	0	429.2	227.75	293	15	195	11.759	0.0549	0.7839
12	OMT	1233	27.2	22.2	2	429.2	858.4	193.53	228	6	408	9.405	0.0599	1.5675
12	OMT	1233	27.2	22.2	3	857.3	1286.5	149.68	194	9	283	8.753	0.0818	0.9726
12	OMT	1234	33.1	26.3	1	0	460.6	261.66	334	14	189	13.644	0.0446	0.9746
12	OMT	1234	33.1	26.3	2	460.6	921.2	223.83	273	9	321	15.98	0.0612	1.7756
12	OMT	1234	33.1	26.3	3	950.4	1411	150.9	216	14	228	17.972	0.1175	1.2837
12	OMT	1235	23.2	21.8	1	0	488.1	188.02	237	7	447	2.778	0.0175	0.3969
12	OMT	1236	32.4	24.8	1	0	519.6	261.8	300	18	144	19.052	0.0574	1.0584
12	OMT	1236	32.4	24.8	2	519.6	1039.2	210.57	261	16	173	21.013	0.0868	1.3133
12	OMT	1237	37.2	24.4	1	0	540.9	227.77	269	7	467	15.551	0.058	2.2216
12	OMT	1237	37.2	24.4	2	540.9	1081.8	169.9	224	10	286	10.827	0.0633	1.0827
12	OMT	1238	24.6	23	1	0	547	200.89	263	12	227	10.75	0.0476	0.8958
12	OMT	1239	24.1	23.2	1	0	513.4	157.86	189	8	479	3.051	0.0242	0.3814
12	OMT	1240	31.7	23.5	1	0	431.5	260.47	326	12	178	13.806	0.0511	1.1505
12	OMT	1240	31.7	23.5	2	431.5	863	221.29	264	11	281	19.933	0.0755	1.8121
12	OMT	1240	31.7	23.5	3	979.7	1411.2	168.1	218	9	286	14.05	0.1011	1.5611
12	OMT	1241	27.6	24.2	1	0	429.2	221.54	276	12	214	9.515	0.0476	0.7929
12	OMT	1241	27.6	24.2	2	429.2	858.4	194.78	225	8	396	9.428	0.0608	1.1785
12	OMT	1241	27.6	24.2	3	888.2	1317.4	164.3	213	10	336	9.351	0.057	0.9351
12	OMT	1242	25.8	23.3	1	0	460.6	216.65	250	9	302	10.998	0.0555	1.222
12	OMT	1242	25.8	23.3	2	460.6	921.2	189.24	218	6	434	14.344	0.0956	2.3907
12	OMT	1243	24.7	22.7	1	0	547	200.92	260	12	296	12.448	0.0598	1.0373
12	OMT	1244	25.8	23.1	1	0	518.4	210.33	266	16	210	10.672	0.0494	0.667
12	OMT	1244	25.8	23.1	2	518.4	1036.8	173.71	212	15	218	12.022	0.0711	0.8015
13	Peat	1301	21.7	19.9	1	0	431.5	173.62	214	9	201	4.247	0.0354	0.4719
13	Peat	1302	21.9	21.6	1	0	430.9	180.18	258	16	150	8.979	0.0685	0.5612
13	Peat	1302	21.9	21.6	2	430.9	861.8	163.13	201	17	210	9.158	0.0678	0.5387
13	Peat	1302	21.9	21.6	3	951	1381.9	151.77	184	16	217	10.386	0.0895	0.6491
13	Peat	1303	24.5	23.4	1	0	428.7	196.86	244	11	230	5.033	0.0323	0.4575
13	Peat	1305	31.5	22.5	1	0	462.3	258.57	314	4	217	4.803	0.0177	1.2008
13	Peat	1305	31.5	22.5	2	462.3	924.6	224.72	262	16	193	9.209	0.0419	0.5756
13	Peat	1305	31.5	22.5	3	923.5	1385.8	158.31	228	19	199	13.75	0.0823	0.7237
13	Peat	1306	22.1	20.9	1	0	431.5	183.67	240	8	365	3.733	0.0281	0.4666
13	Peat	1306	22.1	20.9	2	431.5	863	152.14	185	14	264	6.366	0.0563	0.4547
13	Peat	1307	28.7	21	1	0	430.9	236.68	281	8	242	3.381	0.0162	0.4226
13	Peat	1307	28.7	21	2	430.9	861.8	209.59	241	13	220	6.892	0.0403	0.5302
13	Peat	1307	28.7	21	3	861.8	1292.7	150.5	209	16	219	9.876	0.0691	0.6173
13	Peat	1308	20.5	19.8	1	0	430.3	164.97	208	6	252	1.94	0.018	0.3233
13	Peat	1309	24.5	22.9	1	0	551	195.69	238	5	396	3.752	0.0196	0.7504
13	Peat	1309	24.5	22.9	2	551	1102	154.09	196	13	303	6.993	0.051	0.5379
13	Peat	1310	31.3	24.6	1	0	550.4	263.56	302	9	442	6.026	0.0173	0.6696
13	Peat	1310	31.3	24.6	2	550.4	1100.8	216.08	266	15	257	11.189	0.0457	0.7459
13	Peat	1310	31.3	24.6	3	1091.8	1642.2	161.71	222	15	221	6.306	0.0457	0.4204
